,Close Minus 20,Close Minus 19,Close Minus 18,Close Minus 17,Close Minus 16,Close Minus 15,Close Minus 14,Close Minus 13,Close Minus 12,Close Minus 11,Close Minus 10,Close Minus 9,Close Minus 8,Close Minus 7,Close Minus 6,Close Minus 5,Close Minus 4,Close Minus 3,Close Minus 2,Close Minus 1,close
20,6.95,6.96,6.88,6.9,6.79,6.66,6.71,7.05,6.98,6.97,6.88,7.05,6.96,6.9,7.05,7.22,7.25,7.32,8.05,7.99,7.97
21,6.96,6.88,6.9,6.79,6.66,6.71,7.05,6.98,6.97,6.88,7.05,6.96,6.9,7.05,7.22,7.25,7.32,8.05,7.99,7.97,8.22
22,6.88,6.9,6.79,6.66,6.71,7.05,6.98,6.97,6.88,7.05,6.96,6.9,7.05,7.22,7.25,7.32,8.05,7.99,7.97,8.22,8.15
23,6.9,6.79,6.66,6.71,7.05,6.98,6.97,6.88,7.05,6.96,6.9,7.05,7.22,7.25,7.32,8.05,7.99,7.97,8.22,8.15,7.79
24,6.79,6.66,6.71,7.05,6.98,6.97,6.88,7.05,6.96,6.9,7.05,7.22,7.25,7.32,8.05,7.99,7.97,8.22,8.15,7.79,7.8
25,6.66,6.71,7.05,6.98,6.97,6.88,7.05,6.96,6.9,7.05,7.22,7.25,7.32,8.05,7.99,7.97,8.22,8.15,7.79,7.8,7.88
26,6.71,7.05,6.98,6.97,6.88,7.05,6.96,6.9,7.05,7.22,7.25,7.32,8.05,7.99,7.97,8.22,8.15,7.79,7.8,7.88,7.39
27,7.05,6.98,6.97,6.88,7.05,6.96,6.9,7.05,7.22,7.25,7.32,8.05,7.99,7.97,8.22,8.15,7.79,7.8,7.88,7.39,7.24
28,6.98,6.97,6.88,7.05,6.96,6.9,7.05,7.22,7.25,7.32,8.05,7.99,7.97,8.22,8.15,7.79,7.8,7.88,7.39,7.24,7.2
29,6.97,6.88,7.05,6.96,6.9,7.05,7.22,7.25,7.32,8.05,7.99,7.97,8.22,8.15,7.79,7.8,7.88,7.39,7.24,7.2,7.29
30,6.88,7.05,6.96,6.9,7.05,7.22,7.25,7.32,8.05,7.99,7.97,8.22,8.15,7.79,7.8,7.88,7.39,7.24,7.2,7.29,7.6
31,7.05,6.96,6.9,7.05,7.22,7.25,7.32,8.05,7.99,7.97,8.22,8.15,7.79,7.8,7.88,7.39,7.24,7.2,7.29,7.6,7.55
32,6.96,6.9,7.05,7.22,7.25,7.32,8.05,7.99,7.97,8.22,8.15,7.79,7.8,7.88,7.39,7.24,7.2,7.29,7.6,7.55,7.59
33,6.9,7.05,7.22,7.25,7.32,8.05,7.99,7.97,8.22,8.15,7.79,7.8,7.88,7.39,7.24,7.2,7.29,7.6,7.55,7.59,7.44
34,7.05,7.22,7.25,7.32,8.05,7.99,7.97,8.22,8.15,7.79,7.8,7.88,7.39,7.24,7.2,7.29,7.6,7.55,7.59,7.44,7.25
35,7.22,7.25,7.32,8.05,7.99,7.97,8.22,8.15,7.79,7.8,7.88,7.39,7.24,7.2,7.29,7.6,7.55,7.59,7.44,7.25,7.11
