date,amount,volume,low,close,high,open
2014-01-13,23805004.0,3413941.0,6.87,6.95,7.14,6.99
2014-01-14,30943166.0,4487757.0,6.8,6.96,7.0,6.9
2014-01-15,22938820.0,3330370.0,6.83,6.88,7.03,6.96
2014-01-16,19792198.0,2875043.0,6.83,6.9,6.94,6.83
2014-01-17,14522277.0,2127952.0,6.78,6.79,6.9,6.89
2014-01-20,25532554.0,3778210.0,6.65,6.66,6.86,6.79
2014-01-21,22989862.0,3410852.0,6.66,6.71,6.86,6.7
2014-01-22,41769764.0,5958053.0,6.78,7.05,7.15,6.8
2014-01-23,29045886.0,4159320.0,6.93,6.98,7.09,7.06
2014-01-24,27420472.0,3932060.0,6.9,6.97,7.04,6.97
2014-01-27,27896078.0,4035080.0,6.85,6.88,7.02,6.96
2014-01-28,30672748.0,4378727.0,6.86,7.05,7.07,6.88
2014-01-29,27462824.0,3948408.0,6.9,6.96,7.05,7.04
2014-01-30,15538210.0,2235364.0,6.88,6.9,7.03,6.88
2014-02-07,24165110.0,3458932.0,6.85,7.05,7.05,6.9
2014-02-10,42736156.0,5927796.0,7.1,7.22,7.28,7.26
2014-02-11,37284240.0,5121087.0,7.18,7.25,7.35,7.18
2014-02-12,40915516.0,5594576.0,7.25,7.32,7.4,7.25
2014-02-13,177085680.0,22792738.0,7.19,8.05,8.05,7.34
2014-02-14,206383712.0,25918148.0,7.71,7.99,8.18,8.12
2014-02-17,123982472.0,15732955.0,7.73,7.97,8.02,7.88
2014-02-18,174067472.0,21270736.0,7.76,8.22,8.34,7.76
2014-02-19,185078240.0,22147852.0,8.14,8.15,8.56,8.29
2014-02-20,126616304.0,15874917.0,7.76,7.79,8.23,8.17
2014-02-21,71422864.0,9279237.0,7.58,7.8,7.83,7.78
2014-02-24,64914720.0,8299426.0,7.65,7.88,7.95,7.78
2014-02-25,91695808.0,12015697.0,7.27,7.39,7.92,7.89
2014-02-26,58422124.0,8140699.0,7.07,7.24,7.36,7.36
2014-02-27,45924716.0,6300250.0,7.18,7.2,7.42,7.3
2014-02-28,34270104.0,4787539.0,7.01,7.29,7.36,7.2
2014-03-03,48618652.0,6505881.0,7.02,7.6,7.63,7.29
2014-03-04,41501472.0,5490747.0,7.42,7.55,7.73,7.55
2014-03-05,47755412.0,6242975.0,7.52,7.59,7.79,7.7
2014-03-06,33871264.0,4539389.0,7.32,7.44,7.68,7.68
2014-03-07,39385304.0,5373237.0,7.2,7.25,7.47,7.47
2014-03-10,35755920.0,4987888.0,7.1,7.11,7.28,7.28
2014-03-11,24736094.0,3473289.0,6.9,7.18,7.22,7.0
2014-03-12,23163224.0,3230277.0,7.05,7.2,7.23,7.12
2014-03-13,22796774.0,3175999.0,7.11,7.2,7.24,7.2
2014-03-14,17849064.0,2495980.0,7.1,7.15,7.21,7.18
2014-03-17,19986488.0,2784921.0,7.08,7.21,7.23,7.13
2014-03-18,41579060.0,5725357.0,7.12,7.37,7.38,7.2
2014-03-19,39992084.0,5561842.0,7.1,7.18,7.3,7.25
2014-03-20,25631224.0,3570966.0,7.1,7.1,7.28,7.15
2014-03-21,33870156.0,4793224.0,6.9,7.19,7.19,7.05
2014-03-24,32849056.0,4618851.0,7.02,7.13,7.2,7.2
2014-03-25,25183762.0,3552096.0,7.02,7.1,7.17,7.12
2014-03-26,160054960.0,23910076.0,6.39,6.79,7.09,7.09
